iter	Passed	Remaining
0	66	18393
1	112	15434
2	162	14791
3	216	14715
4	266	14468
5	313	14124
6	362	13936
7	405	13586
8	452	13438
9	489	13033
10	529	12755
11	584	12858
12	655	13267
13	723	13545
14	792	13788
15	848	13795
16	897	13676
17	948	13602
18	1035	14002
19	1094	14009
20	1163	14123
21	1242	14346
22	1311	14427
23	1371	14400
24	1447	14536
25	1520	14623
26	1586	14633
27	1659	14700
28	1710	14567
29	1762	14453
30	1823	14409
31	1875	14299
32	1923	14164
33	1975	14059
34	2026	13953
35	2075	13836
36	2123	13716
37	2165	13562
38	2223	13510
39	2269	13391
40	2313	13260
41	2358	13142
42	2404	13026
43	2454	12940
44	2513	12900
45	2570	12851
46	2624	12786
47	2678	12721
48	2726	12630
49	2782	12576
50	2830	12488
51	2878	12399
52	2947	12403
53	2996	12318
54	3043	12228
55	3090	12141
56	3140	12067
57	3192	12000
58	3240	11919
59	3293	11856
60	3358	11838
61	3408	11765
62	3458	11693
63	3505	11612
64	3563	11566
65	3631	11555
66	3681	11484
67	3739	11437
68	3792	11377
69	3840	11301
70	3885	11218
71	3977	11270
72	4027	11199
73	4082	11143
74	4206	11272
75	4320	11369
76	4437	11468
77	4551	11553
78	4683	11679
79	4795	11748
80	4917	11838
81	5050	11949
82	5163	12007
83	5296	12107
84	5434	12212
85	5549	12261
86	5674	12327
87	5811	12416
88	5928	12455
89	6079	12564
90	6266	12739
91	6718	13437
92	6984	13744
93	7121	13788
94	7248	13809
95	7413	13900
96	7820	14431
97	8170	14839
98	8317	14871
99	8442	14858
100	8553	14820
101	8672	14794
102	8781	14748
103	8915	14745
104	9036	14717
105	9164	14697
106	9289	14672
107	9406	14632
108	9525	14593
109	9633	14538
110	9761	14510
111	9870	14453
112	9988	14408
113	10126	14389
114	10238	14334
115	10380	14317
116	10499	14268
117	10636	14242
118	10765	14203
119	10899	14169
120	11041	14143
121	11165	14094
122	11307	14065
123	11456	14043
124	11600	14013
125	11735	13970
126	11873	13930
127	12006	13882
128	12134	13828
129	12262	13771
130	12403	13729
131	12546	13686
132	12681	13634
133	12810	13575
134	12947	13522
135	13083	13468
136	13210	13403
137	13349	13349
138	13484	13290
139	13606	13218
140	13722	13138
141	13836	13056
142	14029	13048
143	14313	13120
144	14459	13063
145	14645	13040
146	14774	12965
147	14922	12905
148	15074	12848
149	15222	12787
150	15358	12713
151	15495	12641
152	15653	12584
153	15782	12503
154	15932	12437
155	16069	12361
156	16184	12267
157	16313	12183
158	16438	12096
159	16553	12001
160	16707	11933
161	16841	11851
162	16961	11758
163	17075	11661
164	17195	11568
165	17325	11480
166	17436	11380
167	17563	11290
168	17683	11196
169	17801	11099
170	17902	10993
171	18030	10902
172	18163	10814
173	18271	10710
174	18391	10614
175	18516	10520
176	18661	10437
177	18825	10364
178	18960	10274
179	19097	10185
180	19232	10094
181	19360	9999
182	19505	9912
183	19626	9813
184	19749	9714
185	19893	9625
186	20010	9523
187	20125	9420
188	20241	9317
189	20366	9218
190	20478	9113
191	20596	9011
192	20725	8913
193	20841	8809
194	20988	8718
195	21105	8614
196	21224	8511
197	21351	8411
198	21461	8304
199	21592	8205
200	21697	8096
201	21810	7990
202	21926	7885
203	22051	7782
204	22162	7675
205	22284	7572
206	22412	7470
207	22549	7371
208	22675	7269
209	22796	7164
210	22955	7071
211	23107	6975
212	23259	6879
213	23382	6774
214	23523	6674
215	23651	6569
216	23765	6461
217	23900	6358
218	24022	6252
219	24145	6146
220	24257	6036
221	24370	5928
222	24501	5823
223	24618	5714
224	24736	5606
225	24848	5497
226	24980	5392
227	25103	5285
228	25232	5178
229	25351	5070
230	25468	4961
231	25589	4853
232	25712	4745
233	25834	4636
234	25948	4527
235	26062	4417
236	26191	4310
237	26303	4199
238	26427	4091
239	26574	3986
240	26687	3875
241	26828	3769
242	26962	3661
243	27094	3553
244	27271	3450
245	27394	3340
246	27547	3234
247	27665	3123
248	27793	3013
249	27920	2903
250	28030	2791
251	28148	2680
252	28275	2570
253	28382	2458
254	28509	2347
255	28622	2236
256	28745	2125
257	28861	2013
258	28985	1902
259	29107	1791
260	29215	1679
261	29367	1569
262	29530	1459
263	29656	1348
264	29763	1235
265	29888	1123
266	30019	1011
267	30116	898
268	30237	786
269	30351	674
270	30538	563
271	30682	451
272	30981	340
273	31113	227
274	31263	113
275	31405	0
